route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1_286,1_968_263_10_286_3,1_16354_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16355_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16356_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16357_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16358_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16359_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16360_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16361_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16362_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16363_968,,1,1_286_V
1_259,1_955_152_10_259_3,1_17107_955,,0,1_259_I
1_308,1_929_340_13_308_2,1_18150_929,,1,1_308_V
1_308,1_929_340_13_308_2,1_18151_929,,1,1_308_V
1_311,1_929_340_13_311_2,1_18152_929,,1,1_311_V
1_311,1_929_340_13_311_2,1_18153_929,,1,1_311_V
1_311,1_929_340_13_311_2,1_18154_929,,1,1_311_V
1_311,1_929_340_13_311_2,1_18155_929,,1,1_311_V
1_311,1_929_340_13_311_2,1_18156_929,,1,1_311_V
1_311,1_929_340_13_311_2,1_18158_929,,1,1_311_V
1_311,1_929_340_13_311_2,1_18159_929,,1,1_311_V
1_311,1_929_340_13_311_2,1_18160_929,,1,1_311_V
1_311,1_929_340_13_311_2,1_18161_929,,1,1_311_V
1_308,1_929_340_13_308_2,1_18162_929,,1,1_308_V
1_308,1_929_340_13_308_2,1_18164_929,,0,1_308_I
1_308,1_929_340_13_308_2,1_18166_929,,0,1_308_I
1_308,1_929_340_13_308_2,1_18168_929,,0,1_308_I
1_311,1_929_340_13_311_2,1_18169_929,,0,1_311_I
1_311,1_929_340_13_311_2,1_18170_929,,0,1_311_I
1_311,1_929_340_13_311_2,1_18171_929,,0,1_311_I
1_308,1_929_340_13_308_2,1_18172_929,,0,1_308_I
1_311,1_929_340_13_311_2,1_18173_929,,0,1_311_I
1_311,1_929_340_13_311_2,1_18174_929,,0,1_311_I
1_308,1_929_340_13_308_2,1_18175_929,,0,1_308_I
1_308,1_929_340_13_308_2,1_18176_929,,0,1_308_I
1_311,1_929_340_13_311_2,1_18177_929,,0,1_311_I
1_311,1_929_340_13_311_2,1_18178_929,,0,1_311_I
1_308,1_927_343_13_308_2,1_18179_927,,1,1_308_V
1_308,1_927_343_13_308_2,1_18180_927,,1,1_308_V
1_311,1_927_343_13_311_2,1_18181_927,,1,1_311_V
1_311,1_927_343_13_311_2,1_18182_927,,1,1_311_V
1_311,1_927_343_13_311_2,1_18183_927,,1,1_311_V
1_311,1_927_343_13_311_2,1_18184_927,,1,1_311_V
1_311,1_927_343_13_311_2,1_18185_927,,1,1_311_V
1_311,1_927_343_13_311_2,1_18186_927,,1,1_311_V
